"idade_pessoa";"salario_anual";"tipo_imovel";"anos_trabalhados";"motivo_emprestimo";"pontuacao_emprestimo";"valor_emprestimo";"taxa_juros";"possibilidade_inadimplencia";"renda_percentual";"foi_inadimplente";"anos_primeiro_emprestimo"
22;29000;"Mortgage";5.0;"Debtconsolidation";"B";9000;0.0;1;0.31;"N";4
31;19968;"Rent";1.0;"Education";"B";2500;9.62;1;0.13;"N";6
29;42000;"Rent";4.0;"Venture";"G";1600;19.16;0;0.04;"Y";6
21;45000;"Rent";3.0;"Personal";"A";7200;9.38;0;0.16;"N";4
22;72000;"Own";1.0;"Venture";"B";15000;10.25;0;0.21;"N";4
23;30000;"Rent";2.0;"Medical";"A";6400;0.0;0;0.21;"N";3
24;81600;"Rent";5.0;"Venture";"C";8000;12.84;0;0.1;"Y";2
23;20000;"Rent";6.0;"Personal";"C";4000;12.23;0;0.2;"Y";2
23;37460;"Mortgage";2.0;"Education";"C";7125;13.99;0;0.19;"N";4
38;40000;"Rent";19.0;"Venture";"B";12000;10.59;0;0.3;"N";11
26;48000;"Mortgage";10.0;"Education";"A";10000;7.74;0;0.21;"N";2
22;110000;"Rent";6.0;"Medical";"A";6400;9.32;0;0.06;"N";4
30;50000;"Rent";3.0;"Personal";"C";10000;13.22;0;0.2;"N";7
24;8400;"Rent";0.0;"Education";"C";1500;13.99;1;0.18;"N";4
25;110000;"Mortgage";5.0;"Venture";"C";1200;13.49;0;0.01;"N";4
49;70872;"Mortgage";4.0;"Debtconsolidation";"D";15000;14.84;1;0.21;"N";11
41;24000;"Rent";24.0;"Personal";"A";2000;7.75;1;0.08;"N";17
49;23004;"Rent";6.0;"Personal";"D";3250;15.21;0;0.14;"N";12
27;38250;"Rent";1.0;"Medical";"A";5000;7.51;0;0.13;"N";5
25;46000;"Mortgage";4.0;"Education";"C";2125;12.99;0;0.05;"Y";2
30;41604;"Mortgage";7.0;"Venture";"B";15000;10.0;0;0.36;"N";9
24;36500;"Mortgage";3.0;"Education";"B";2500;10.37;0;0.07;"N";3
36;45344;"Mortgage";11.0;"Education";"A";16750;7.88;0;0.37;"N";13
33;85000;"Rent";0.0;"Personal";"B";10000;0.0;0;0.12;"N";5
56;90000;"Mortgage";0.0;"Personal";"A";7200;6.17;0;0.08;"N";19
30;100000;"Other";2.0;"Venture";"C";1000;14.27;0;0.01;"Y";2
33;58800;"Rent";10.0;"Medical";"B";3000;11.49;0;0.05;"N";9
28;90000;"Mortgage";12.0;"Homeimprovement";"C";5000;14.79;0;0.06;"Y";8
22;19200;"Mortgage";6.0;"Homeimprovement";"D";1400;14.91;1;0.07;"Y";4
23;45000;"Rent";2.0;"Venture";"B";14500;10.36;1;0.32;"N";4
25;23000;"Rent";0.0;"Homeimprovement";"D";8000;14.46;1;0.35;"Y";2
28;29496;"Rent";8.0;"Education";"D";4500;14.11;0;0.15;"Y";7
28;40000;"Mortgage";12.0;"Homeimprovement";"A";15000;5.99;0;0.38;"N";9
31;75000;"Rent";4.0;"Homeimprovement";"A";18000;8.9;0;0.24;"N";6
36;40000;"Own";2.0;"Personal";"A";5000;7.88;0;0.13;"N";12
21;32400;"Rent";2.0;"Venture";"C";10000;13.23;1;0.31;"Y";3
35;106369;"Mortgage";2.0;"Venture";"A";8325;6.99;0;0.08;"N";10
24;65450;"Mortgage";8.0;"Medical";"D";5000;16.77;1;0.06;"N";4
24;38400;"Mortgage";8.0;"Homeimprovement";"B";10000;10.99;0;0.26;"N";2
26;39000;"Rent";2.0;"Education";"A";8000;6.62;0;0.21;"N";2
37;20004;"Rent";0.0;"Debtconsolidation";"B";5000;0.0;0;0.25;"N";12
34;30000;"Own";0.0;"Medical";"A";6000;7.29;0;0.2;"N";9
25;42000;"Rent";3.0;"Venture";"A";18000;6.17;1;0.43;"N";2
31;45000;"Mortgage";12.0;"Personal";"A";6000;9.32;0;0.13;"N";9
24;48000;"Mortgage";3.0;"Debtconsolidation";"B";4800;9.99;0;0.1;"N";2
27;75000;"Mortgage";4.0;"Personal";"B";20150;11.36;0;0.27;"N";6
23;30000;"Rent";3.0;"Personal";"A";3600;5.99;0;0.12;"N";2
39;57000;"Mortgage";0.0;"Debtconsolidation";"A";3000;9.63;0;0.05;"N";14
28;110244;"Mortgage";3.0;"Homeimprovement";"D";18000;12.17;0;0.16;"N";10
25;72000;"Rent";0.0;"Debtconsolidation";"A";17000;7.88;0;0.24;"N";3
26;143375;"Mortgage";10.0;"Medical";"A";12000;7.66;0;0.08;"N";3
27;28800;"Own";0.0;"Homeimprovement";"A";13000;6.92;0;0.45;"N";10
23;62400;"Mortgage";7.0;"Medical";"C";7000;13.06;0;0.11;"N";4
31;48000;"Rent";11.0;"Medical";"B";2000;10.65;0;0.04;"N";6
28;75000;"Rent";1.0;"Homeimprovement";"A";12000;9.63;0;0.16;"N";7
25;67500;"Rent";2.0;"Education";"A";7200;7.88;0;0.11;"N";4
26;90000;"Rent";8.0;"Personal";"D";15000;0.0;0;0.17;"Y";3
43;54000;"Rent";0.0;"Homeimprovement";"D";9000;15.65;1;0.17;"Y";16
23;72324;"Rent";7.0;"Venture";"B";12000;10.99;0;0.17;"N";3
26;38400;"Rent";8.0;"Venture";"D";9100;15.37;0;0.24;"Y";2
30;62304;"Rent";3.0;"Education";"D";11000;0.0;0;0.18;"N";9
26;48000;"Mortgage";11.0;"Medical";"A";5000;7.14;1;0.1;"N";2
21;44000;"Rent";0.0;"Personal";"D";5500;15.28;1;0.13;"N";3
26;22800;"Rent";4.0;"Personal";"C";5000;13.57;0;0.22;"Y";2
23;60000;"Mortgage";0.0;"Education";"B";5600;10.99;0;0.09;"N";2
24;125000;"Rent";6.0;"Personal";"A";4800;6.76;0;0.04;"N";3
38;83000;"Rent";3.0;"Homeimprovement";"G";22250;23.22;1;0.27;"Y";12
24;26000;"Rent";2.0;"Homeimprovement";"D";6200;14.11;1;0.24;"N";4
26;54000;"Rent";3.0;"Homeimprovement";"E";13000;17.93;0;0.24;"Y";2
28;33600;"Mortgage";12.0;"Medical";"A";3000;5.42;0;0.09;"N";5
27;144000;"Mortgage";4.0;"Debtconsolidation";"C";21000;13.57;0;0.15;"Y";8
44;80160;"Mortgage";13.0;"Debtconsolidation";"C";5500;13.92;0;0.07;"Y";13
24;120000;"Rent";4.0;"Homeimprovement";"C";10000;13.61;0;0.08;"N";2
28;65000;"Mortgage";5.0;"Medical";"C";4500;15.96;0;0.07;"Y";9
36;35000;"Own";1.0;"Venture";"B";6000;11.49;0;0.17;"N";13
23;40000;"Rent";7.0;"Venture";"B";10000;10.36;0;0.25;"N";3
32;40000;"Rent";2.0;"Education";"A";7500;8.0;0;0.19;"N";6
23;65000;"Mortgage";7.0;"Education";"A";10500;6.03;0;0.16;"N";4
22;40000;"Rent";6.0;"Education";"C";14000;13.11;1;0.35;"Y";3
24;84996;"Rent";1.0;"Medical";"A";6000;6.03;0;0.07;"N";3
22;94200;"Mortgage";6.0;"Personal";"B";20000;8.88;0;0.21;"N";2
21;36000;"Rent";0.0;"Personal";"B";18000;9.88;1;0.5;"N";3
26;130000;"Rent";10.0;"Debtconsolidation";"C";20000;13.11;0;0.15;"Y";4
23;59000;"Rent";3.0;"Education";"D";10000;15.58;1;0.17;"N";3
29;48000;"Rent";1.0;"Medical";"A";8800;8.49;0;0.18;"N";9
55;50000;"Rent";2.0;"Debtconsolidation";"A";20000;7.51;1;0.4;"N";28
27;62900;"Rent";9.0;"Medical";"D";7450;15.99;1;0.1;"N";10
31;117000;"Mortgage";5.0;"Homeimprovement";"A";3600;6.91;0;0.03;"N";5
30;40000;"Rent";4.0;"Venture";"C";4500;14.26;0;0.11;"Y";6
29;59000;"Mortgage";7.0;"Debtconsolidation";"B";15000;9.76;1;0.25;"N";8
37;55236;"Mortgage";9.0;"Venture";"A";6500;6.03;0;0.12;"N";16
28;42000;"Rent";9.0;"Education";"A";2500;8.49;0;0.06;"N";8
22;96000;"Rent";4.0;"Education";"B";3150;6.0;0;0.03;"N";2
40;33000;"Mortgage";2.0;"Homeimprovement";"B";1000;0.0;0;0.03;"N";15
22;39000;"Own";6.0;"Medical";"A";1000;0.0;0;0.03;"N";2
25;58000;"Mortgage";2.0;"Personal";"D";2750;12.86;0;0.05;"Y";4
28;74000;"Own";12.0;"Venture";"D";5450;12.67;0;0.07;"Y";6
26;145992;"Mortgage";0.0;"Personal";"D";20000;0.0;0;0.14;"Y";2
23;60000;"Rent";3.0;"Education";"E";10000;0.0;0;0.17;"N";2
36;31000;"Rent";2.0;"Venture";"A";2500;8.9;0;0.08;"N";15
38;96000;"Mortgage";0.0;"Personal";"C";1500;14.26;0;0.02;"N";14
26;52000;"Mortgage";6.0;"Personal";"B";3300;10.99;0;0.06;"N";2
24;32004;"Mortgage";5.0;"Venture";"C";14000;12.73;0;0.44;"N";4
31;32904;"Mortgage";15.0;"Venture";"C";3000;0.0;0;0.09;"N";5
39;12000;"Rent";0.0;"Venture";"B";2000;10.65;1;0.17;"N";11
24;86000;"Mortgage";0.0;"Personal";"B";20000;10.99;1;0.23;"N";4
29;70000;"Mortgage";13.0;"Medical";"A";10000;6.99;0;0.14;"N";5
25;35500;"Rent";5.0;"Medical";"B";4000;10.99;0;0.11;"N";3
22;18000;"Rent";0.0;"Medical";"C";3000;13.99;1;0.17;"Y";4
36;120000;"Mortgage";12.0;"Homeimprovement";"A";14500;5.42;0;0.12;"N";13
30;43200;"Mortgage";5.0;"Homeimprovement";"C";4200;13.49;0;0.1;"Y";7
26;28800;"Rent";4.0;"Medical";"A";7000;5.42;0;0.24;"N";4
32;40277;"Rent";5.0;"Medical";"B";15000;11.71;1;0.37;"N";8
23;52360;"Mortgage";0.0;"Venture";"D";15000;16.49;0;0.29;"Y";2
26;85000;"Rent";2.0;"Venture";"A";28000;7.49;1;0.33;"N";3
23;54804;"Rent";4.0;"Education";"D";3600;16.77;0;0.07;"Y";4
24;55000;"Mortgage";8.0;"Personal";"D";15000;0.0;0;0.27;"Y";3
24;60000;"Rent";4.0;"Personal";"B";12500;11.49;0;0.21;"N";3
25;80000;"Mortgage";7.0;"Homeimprovement";"A";6000;7.9;0;0.07;"N";3
24;130000;"Rent";7.0;"Debtconsolidation";"B";24000;11.49;0;0.18;"N";3
23;50000;"Rent";5.0;"Personal";"A";10000;8.94;0;0.2;"N";2
23;30000;"Rent";2.0;"Education";"A";6400;6.99;0;0.21;"N";4
34;67392;"Mortgage";0.0;"Personal";"C";15000;13.85;1;0.22;"Y";5
